index,item,business,description
0,p597,b9,"TAM M
50% poliéster e 50% Algodão 
Blusa femenina "
1,p593,b9,"TAM G
50%poliéster e  50% Algodão 
Blusa femenina "
2,p589,b9,"TAM G 
100% Algodão no fio 30 penteado 
Blusa femenina "
3,p585,b9,"TAM G
100% Algodão no fio 30 penteado 
Blusa femenina "
4,p581,b9,"TAM G
100% Algodão no fio 30 penteado 
Blusa femenina "
5,p577,b9,"TAM P 
50% poliéster e 50%Algodão 
Blusa femenina"
6,p560,b7,"O desktop compacto Lenovo V50s é rápido, responsivo e eficiente. Combina a potência dos mais recentes processadores Intel® de 10ª geração com a velocidade da memória DDR4 para maximizar a produtividade. Versátil e seguro, o equipamento também oferece opções gráficas dedicadas e praticidade com portas USB frontais."
7,p556,b7,"processor
10ª geração de Intel® Core™ i3-10100 (4-core, cache de 6MB, 3.6GHz até 4.3GHz)

laptop
Windows 11 Home Single Language, Português
(A Dell Technologies recomenda o Windows 11 Pro para empresas)

videocard
Placa gráfica UHD Intel® Graphics

memory
Memória de 4GB (1x4GB), DDR4, 2666MHz, Expansível até 64GB (2 slots UDIMM, 1 slot livre)

harddrive
HD de 1TB (7200RPM) SATA 3.5""


Portas e slots"
8,p536,b7,Plataforma para ciência de dados.
9,p458,b1,Limpeza com autonomia
10,p452,b1,Smartphone full black
11,p433,b6,"Behringer - UMC 204 HD
Este produto conta com 1 ano de garantia padrão da ProShows. O consumidor pode estender essa garantia por mais 1 ano, através da Garantia Estendida.
O UMC204HD é uma interface de áudio HD da Linha U-Phoria, que facilita a realização de suas gravações em poucos minutos com toda a conectividade necessária para seus microfones, guitarras, teclados e até mesmo dispositivos MIDI.
A interface possui 2 pré-amplificadores Midas e USB 2.0. Além de contar com uma resolução de áudio de 24 bits/192kHz."
12,p416,b4,Pcatafoma de Ciência de dados
13,p356,b1,"Notebook 14''
1TB SSD
16GB RAM"
0,b9,b9,"Somos uma loja online especializada em blusas femenina, trabalhamos do p ou gg , nos tecidos 100% Algodão no fio 30 penteado e 50% Poliéster e 50% Algodão, temos variedades de cores e estampas cristãs,  empoderamento femenino e personagens de desenhos animados ( Mickey, Minnie, snoopy ,  Garfield, mulher Maravilha e as super poderosas)."
1,b7,b7,Trabalho com pesquisa científica e desenvolvimento tecnológico.
2,b6,b6,"Tecnologia, Gestão, Consultoria, Audiovisual, Livros"
3,b4,b4,"Tecnologia; 
Inteligência Artificial; 
Ciência de Dados"
4,b3,b3,"academia, musculação, livros, educação"
5,b2,b2,"PC Games, ps4, xbox, games, jogos"
6,b1,b1,"computação, tecnologia"
